Month,ICE #5 €/t average,EU average reported price,Region 1,Region 2,Region 3,EU Average Short term contracts,Region 1 Short term contracts,Region 2 Short term contracts
01/02/2023,534.80,,,,,,,
01/01/2023,509.62,,,,,,,
01/12/2022,505.48,,,,,,,
01/11/2022,499.88,622.00,619.00,588.00,815.18,,,
01/10/2022,485.80,586.00,592.00,560.00,711.40,616.52,837.93,512.33
01/09/2022,494.81,512.00,475.00,494.00,669.00,666.70,820.99,559.97
01/08/2022,497.10,484.00,467.00,462.00,623.00,694.18,822.18,611.43
01/07/2022,501.43,473.00,445.00,458.00,584.00,596.37,751.37,505.10
01/06/2022,517.57,453.00,446.00,438.00,561.00,544.36,727.50,480.05
01/05/2022,516.65,452.00,441.00,438.00,548.00,547.87,641.71,491.94
01/04/2022,519.03,446.00,440.00,436.00,526.00,528.85,609.42,465.99
01/03/2022,505.57,443.00,429.00,436.00,522.00,511.34,545.25,472.07
01/02/2022,477.14,440.00,432.00,429.00,526.00,493.01,523.41,457.65
01/01/2022,480.83,433.00,425.00,423.00,512.00,496.52,505.33,456.46
01/12/2021,483.59,421.00,409.00,411.00,512.00,456.08,451.96,420.27
01/11/2021,497.02,414.00,406.00,405.00,496.00,458.04,428.15,427.57
01/10/2021,494.12,416.00,401.00,411.00,479.00,457.16,416.32,427.88
01/09/2021,494.82,408.00,396.00,399.00,469.00,481.20,424.16,494.08
01/08/2021,482.85,402.00,394.00,393.00,462.00,445.53,447.54,426.19
01/07/2021,457.82,400.00,391.00,392.00,459.00,426.54,403.27,417.73
01/06/2021,452.74,397.00,392.00,389.00,456.00,432.58,438.90,414.24
01/05/2021,451.98,396.00,390.00,387.00,455.00,408.79,402.42,376.20
01/04/2021,435.27,395.00,389.00,387.00,455.00,413.38,414.60,395.36
01/03/2021,424.42,394.00,386.00,388.00,450.00,405.43,386.70,398.14
01/02/2021,427.08,390.00,391.00,380.00,454.00,410.29,391.78,396.13
01/01/2021,410.64,388.00,386.00,378.00,443.00,400.33,348.77,393.74
01/12/2020,388.50,379.00,380.00,367.00,444.00,394.51,377.33,
01/11/2020,388.31,379.00,382.00,369.00,445.00,,,
01/10/2020,380.52,381.00,378.00,371.00,451.00,,,
01/09/2020,364.40,376.00,381.00,362.00,459.00,,,
01/08/2020,372.09,378.00,383.00,365.00,465.00,,,
01/07/2020,355.21,378.00,378.00,367.00,463.00,,,
01/06/2020,360.46,379.00,380.00,367.00,458.00,,,
01/05/2020,339.92,375.00,386.00,363.00,453.00,,,
01/04/2020,327.35,379.00,384.00,371.00,451.00,,,
01/03/2020,349.30,375.00,383.00,364.00,445.00,,,
01/02/2020,400.87,371.00,379.00,358.00,450.00,,,
01/01/2020,387.09,360.00,368.00,347.00,445.00,,,
01/12/2019,367.26,342.00,357.00,326.00,409.00,,,
01/11/2019,353.52,334.00,345.00,321.00,403.00,,,
01/10/2019,349.50,332.00,338.00,320.00,399.00,,,
01/09/2019,338.05,328.00,333.00,316.00,375.00,,,
01/08/2019,343.11,320.00,321.00,310.00,381.00,,,
01/07/2019,347.64,320.00,324.00,308.00,386.00,,,
01/06/2019,357.93,321.00,325.00,311.00,383.00,,,
01/05/2019,352.25,320.00,325.00,309.00,361.00,,,
01/04/2019,361.46,319.00,324.00,311.00,365.00,,,
01/03/2019,361.78,314.00,321.00,304.00,365.00,,,
01/02/2019,368.12,314.00,322.00,303.00,365.00,,,
01/01/2019,364.72,312.00,315.00,301.00,367.00,,,
01/12/2018,358.12,314.00,325.00,300.00,370.00,,,
01/11/2018,359.19,320.00,329.00,308.00,368.00,,,
01/10/2018,370.88,321.00,325.00,309.00,380.00,,,
01/09/2018,337.49,347.00,338.00,340.00,398.00,,,
01/08/2018,326.52,347.00,338.00,345.00,381.00,,,
01/07/2018,334.38,347.00,350.00,341.00,371.00,,,
01/06/2018,350.82,361.00,363.00,359.00,375.00,,,
01/05/2018,343.07,368.00,369.00,365.00,383.00,,,
01/04/2018,345.91,365.00,366.00,361.00,386.00,,,
01/03/2018,365.16,376.00,371.00,374.00,399.00,,,
01/02/2018,372.24,372.00,371.00,367.00,408.00,,,
01/01/2018,383.81,371.00,376.00,365.00,407.00,,,
01/12/2017,388.27,400.00,398.00,393.00,452.00,,,
01/11/2017,401.41,411.00,407.00,405.00,455.00,,,
01/10/2017,390.12,422.00,423.00,418.00,447.00,,,
